food_id,food_name,cuisine_type,region,country,diet_type,meal_type,serving_size_g,calories,protein_g,fat_g,carbs_g,fiber_g,sugar_g,sodium_mg,cholesterol_mg,suitable_breakfast,suitable_lunch,suitable_dinner,suitable_snack,spring,summer,fall,winter,allergens
1,Escalivada,Spanish,European,Spain,Vegetarian,Breakfast,100,293.6,19.3,19.6,38.0,2.1,4.8,141.0,35.0,1,1,1,0,1,1,1,1,['Soy']
2,Tteokbokki,Korean,Asian,South Korea,Vegetarian,Dessert,100,380.3,7.4,10.4,58.9,4.2,20.3,227.0,7.0,0,0,1,0,1,1,1,1,"['Nuts', 'None', 'Dairy']"
3,Mole Poblano,Mexican,Latin American,Mexico,Non-Vegetarian,Breakfast,100,276.1,12.9,13.6,28.7,5.3,4.5,563.0,74.0,1,1,0,1,1,1,1,0,[]
4,Kibbeh Nayeh,Lebanese,Middle Eastern,Lebanon,Non-Vegetarian,Beverage,100,264.0,30.7,12.4,20.4,3.6,0.5,847.0,50.0,0,0,1,1,1,1,1,1,"['Eggs', 'Shellfish']"
5,Mushroom Tom Yum,Thai,Asian,Thailand,Vegetarian,Dinner,100,116.3,14.4,19.4,42.3,4.4,2.4,579.0,18.0,0,1,0,0,1,1,1,1,"['Nuts', 'Shellfish', 'Soy']"
6,Bean Tostadas,Mexican,Latin American,Mexico,Vegan,Dinner,100,128.1,7.0,2.6,51.4,5.3,8.3,318.0,21.0,0,1,1,0,1,0,0,1,"['Eggs', 'Shellfish', 'None']"
7,Salt and Pepper Shrimp,Chinese,Asian,China,Non-Vegetarian,Lunch,100,286.7,18.7,29.3,28.3,5.6,8.9,838.0,141.0,0,1,1,0,1,1,0,1,"['Gluten', 'None', 'Shellfish']"
8,Stir-Fried Greens,Chinese,Asian,China,Vegan,Lunch,100,120.4,4.0,2.7,28.0,6.5,4.0,680.0,14.0,0,1,1,0,1,1,0,1,[]
9,Champinones al Ajillo,Spanish,European,Spain,Vegan,Dinner,100,164.6,7.4,4.3,47.1,3.7,11.9,641.0,8.0,1,1,1,0,0,1,1,1,[]
10,Boquerones en Vinagre,Spanish,European,Spain,Non-Vegetarian,Beverage,100,151.4,31.3,23.6,26.9,4.6,0.7,623.0,44.0,0,1,0,0,1,1,1,1,[]
11,Coniglio alla Cacciatora,Italian,European,Italy,Non-Vegetarian,Dinner,100,365.8,27.5,15.3,6.9,1.9,3.3,957.0,107.0,1,0,0,1,1,1,1,1,['Shellfish']
12,Fava,Greek,European,Greece,Vegan,Lunch,100,304.1,6.7,3.9,43.5,9.8,7.2,640.0,20.0,0,1,0,0,1,1,1,1,"['Eggs', 'Soy']"
13,Melitzanosalata,Greek,European,Greece,Vegetarian,Lunch,100,230.7,8.1,3.4,14.3,2.3,9.9,320.0,20.0,1,1,1,0,1,1,1,1,[]
14,Vegetable Pad Prik King,Thai,Asian,Thailand,Vegetarian,Dessert,100,472.3,3.2,18.2,51.4,1.1,16.9,303.0,6.0,1,1,1,0,0,1,1,1,"['Dairy', 'Gluten', 'Shellfish']"
15,Calamares a la Romana,Spanish,European,Spain,Non-Vegetarian,Dinner,100,382.4,31.2,21.9,31.1,4.8,1.9,1103.0,95.0,0,0,1,0,1,1,1,1,[]
16,Sopes with Beans and Cheese,Mexican,Latin American,Mexico,Vegetarian,Lunch,100,301.9,13.8,8.4,14.4,3.8,7.0,673.0,34.0,0,1,1,0,0,1,0,1,[]
17,Gazpacho,Spanish,European,Spain,Vegan,Breakfast,100,201.7,12.7,13.3,26.7,1.8,8.1,760.0,13.0,0,0,1,0,1,1,1,1,"['Nuts', 'Eggs', 'None']"
18,Vegetable Terrine,French,European,France,Vegan,Beverage,100,219.3,9.0,7.8,53.9,11.7,3.8,448.0,12.0,1,1,0,0,1,1,1,1,['Gluten']
19,Tabbouleh,Lebanese,Middle Eastern,Lebanon,Vegetarian,Lunch,100,171.2,3.4,13.4,30.1,2.4,4.9,736.0,10.0,0,1,1,1,0,1,1,1,"['Shellfish', 'Soy', 'None']"
20,Lamb Maklouba,Lebanese,Middle Eastern,Lebanon,Non-Vegetarian,Dinner,100,186.2,24.8,29.7,12.3,4.0,7.6,514.0,117.0,0,1,1,1,1,1,0,0,[]
21,Dolmades,Greek,European,Greece,Vegan,Dessert,100,310.3,6.7,22.7,43.8,0.5,35.9,325.0,7.0,1,1,1,0,0,1,1,1,"['Soy', 'Shellfish']"
22,Fattet Hummus,Lebanese,Middle Eastern,Lebanon,Vegetarian,Beverage,100,110.2,10.1,14.5,10.7,6.1,4.2,552.0,7.0,0,0,1,0,1,1,1,1,"['Soy', 'Dairy']"
23,Bun Thit Nuong,Vietnamese,Asian,Vietnam,Non-Vegetarian,Lunch,100,322.7,22.7,28.6,9.1,2.0,1.1,1132.0,135.0,0,1,1,0,0,1,1,1,[]
24,Vegetable Larb,Thai,Asian,Thailand,Vegetarian,Beverage,100,164.5,10.9,16.9,32.2,6.2,4.4,165.0,36.0,1,1,0,0,1,1,1,1,[]
25,Vegetable Green Curry,Thai,Asian,Thailand,Vegan,Dessert,100,470.1,6.7,16.8,37.2,3.6,37.4,721.0,31.0,0,1,1,0,0,1,1,0,[]
26,Stir-Fried Vegetables,Thai,Asian,Thailand,Vegan,Snack,100,247.7,2.8,4.6,50.9,8.5,1.1,171.0,27.0,0,0,1,1,1,1,1,1,"['None', 'Eggs']"
27,Vegetable Chili,American,North American,United States,Vegan,Beverage,100,101.2,3.6,10.8,42.7,8.9,3.5,599.0,9.0,1,0,1,0,0,1,0,1,"['None', 'Dairy']"
28,Enfrijoladas,Mexican,Latin American,Mexico,Vegetarian,Beverage,100,181.3,12.0,14.0,44.0,7.3,9.0,166.0,15.0,0,1,1,0,1,1,1,0,"['Gluten', 'None']"
29,Pickled Vegetables,Japanese,Asian,Japan,Vegetarian,Dessert,100,279.6,3.2,29.5,38.8,4.5,30.8,656.0,20.0,1,1,1,0,1,0,1,0,['Nuts']
30,Chana Masala,Indian,Asian,India,Vegan,Snack,100,232.7,6.9,5.1,43.9,5.5,1.3,552.0,7.0,0,0,0,1,1,1,1,0,"['Soy', 'Nuts']"
31,Alcachofas al Ajillo,Spanish,European,Spain,Vegetarian,Beverage,100,335.1,14.4,18.6,24.8,2.1,14.0,400.0,39.0,0,1,1,0,1,1,1,1,['Soy']
32,Bulgogi,Korean,Asian,South Korea,Non-Vegetarian,Snack,100,390.9,32.1,14.5,16.6,5.1,3.2,453.0,97.0,0,1,0,1,1,1,1,1,['Shellfish']
33,Prosciutto di Parma,Italian,European,Italy,Non-Vegetarian,Dessert,100,480.8,7.3,21.4,28.4,3.1,39.8,426.0,92.0,1,0,1,0,0,1,1,0,[]
